model,attack,density,comparison,metric,n_images,mean_a,mean_b,mean_difference,ci_95_low,ci_95_high,ci_excludes_zero,bootstrap_samples,bootstrap_seed
3k_baseline,navier,0.1,O150 -> O300,ber,300,0.48344444444444445,0.4820000000000001,-0.001444444444444444,-0.007558333333333336,0.004666666666666665,False,10000,42
3k_baseline,navier,0.1,O150 -> O300,psnr_attack,300,24.420712776184082,24.577697041829428,0.15698426564534504,0.13294903198877972,0.18091863870620728,True,10000,42
3k_baseline,navier,0.1,O150 -> O300,ssim_attack,300,0.6832084739208222,0.6853995914260547,0.0021911175052324932,0.0014359627614418664,0.002943349979817867,True,10000,42
3k_baseline,navier,0.1,O150 -> O300,psnr_final,300,24.315628801981607,24.457443176905315,0.14181437492370605,0.11788425978024801,0.16606459776560467,True,10000,42
3k_baseline,navier,0.1,O150 -> O300,ssim_final,300,0.6886034090320269,0.6909902287522952,0.0023868197202682497,0.0016441439812382064,0.0031488022133708,True,10000,42
3k_baseline,navier,0.3,Random -> O150,ber,300,0.36366666666666664,0.3204444444444444,-0.043222222222222224,-0.05222499999999999,-0.03411111111111108,True,10000,42
3k_baseline,navier,0.3,Random -> O150,psnr_attack,300,24.800537926355997,31.659030323028563,6.858492396672567,6.5972884987990055,7.117058032989502,True,10000,42
3k_baseline,navier,0.3,Random -> O150,ssim_attack,300,0.7720932962497076,0.8817453815539678,0.10965208530426025,0.10377021313707034,0.11559809153775374,True,10000,42
3k_baseline,navier,0.3,Random -> O150,psnr_final,300,24.54430902481079,30.596203994750976,6.051894969940186,5.838274137020111,6.2622061111132306,True,10000,42
3k_baseline,navier,0.3,Random -> O150,ssim_final,300,0.7561704691251119,0.8794614668687185,0.12329099774360656,0.11744360451896985,0.12913904224832853,True,10000,42
3k_baseline,navier,0.3,Random -> O300,ber,300,0.36366666666666664,0.3128888888888889,-0.05077777777777778,-0.06033333333333329,-0.04144444444444441,True,10000,42
3k_baseline,navier,0.3,Random -> O300,psnr_attack,300,24.800537926355997,31.66457504272461,6.864037116368611,6.6037129414081575,7.124165676275889,True,10000,42
3k_baseline,navier,0.3,Random -> O300,ssim_attack,300,0.7720932962497076,0.8816271768013636,0.10953388055165608,0.10364849428335825,0.1154509052981933,True,10000,42
3k_baseline,navier,0.3,Random -> O300,psnr_final,300,24.54430902481079,30.59091512044271,6.046606095631917,5.832173744519552,6.257879269440968,True,10000,42
3k_baseline,navier,0.3,Random -> O300,ssim_final,300,0.7561704691251119,0.8793113362789154,0.12314086715380351,0.11732022747645775,0.12898567783584197,True,10000,42
3k_baseline,navier,0.3,O150 -> O300,ber,300,0.3204444444444444,0.3128888888888889,-0.007555555555555555,-0.013888888888888886,-0.0013333333333333316,True,10000,42
3k_baseline,navier,0.3,O150 -> O300,psnr_attack,300,31.659030323028563,31.66457504272461,0.005544719696044922,-0.011057719548543295,0.0217526036898295,False,10000,42
3k_baseline,navier,0.3,O150 -> O300,ssim_attack,300,0.8817453815539678,0.8816271768013636,-0.00011820475260416667,-0.00043459526697794596,0.00019094091653823838,False,10000,42
3k_baseline,navier,0.3,O150 -> O300,psnr_final,300,30.596203994750976,30.59091512044271,-0.005288874308268229,-0.018203835646311443,0.007360980510711669,False,10000,42
3k_baseline,navier,0.3,O150 -> O300,ssim_final,300,0.8794614668687185,0.8793113362789154,-0.0001501305898030599,-0.0004521774103244146,0.00014619808892409004,False,10000,42
3k_gaussian_blur,diffusion,0.1,Random -> O150,ber,300,0.3653333333333333,0.3887777777777778,0.023444444444444445,0.014222222222222228,0.032891666666666625,True,10000,42
3k_gaussian_blur,diffusion,0.1,Random -> O150,psnr_attack,300,22.50516037305196,27.04722602844238,4.542065655390422,4.337718190431595,4.74946079246203,True,10000,42
3k_gaussian_blur,diffusion,0.1,Random -> O150,ssim_attack,300,0.6153536509970824,0.750822375714779,0.1354687247176965,0.12929378769298394,0.1416617680254082,True,10000,42
3k_gaussian_blur,diffusion,0.1,Random -> O150,psnr_final,300,22.300091206232707,26.841521027882894,4.541429821650187,4.338024978319804,4.746529969135921,True,10000,42
3k_gaussian_blur,diffusion,0.1,Random -> O150,ssim_final,300,0.6170731923977534,0.7697805560628573,0.1527073636651039,0.14684503400822482,0.15850832422574362,True,10000,42
3k_gaussian_blur,diffusion,0.1,Random -> O300,ber,300,0.3653333333333333,0.3827777777777778,0.017444444444444443,0.00788888888888889,0.027333333333333338,True,10000,42
3k_gaussian_blur,diffusion,0.1,Random -> O300,psnr_attack,300,22.50516037305196,25.406383323669434,2.9012229506174725,2.7460013060569763,3.0565632316271465,True,10000,42
3k_gaussian_blur,diffusion,0.1,Random -> O300,ssim_attack,300,0.6153536509970824,0.731857199370861,0.11650354837377866,0.10896851130202413,0.12400260917469859,True,10000,42
3k_gaussian_blur,diffusion,0.1,Random -> O300,psnr_final,300,22.300091206232707,25.27432148615519,2.9742302799224856,2.821890616416931,3.1240433816909787,True,10000,42
3k_gaussian_blur,diffusion,0.1,Random -> O300,ssim_final,300,0.6170731923977534,0.7501850392421087,0.13311184684435526,0.12597459911058348,0.14019631397227447,True,10000,42
3k_gaussian_blur,diffusion,0.1,O150 -> O300,ber,300,0.3887777777777778,0.3827777777777778,-0.006,-0.01211111111111111,0.00022222222222222272,False,10000,42
3k_gaussian_blur,diffusion,0.1,O150 -> O300,psnr_attack,300,27.04722602844238,25.406383323669434,-1.6408427047729492,-1.8146916631062826,-1.4751869544982912,True,10000,42
3k_gaussian_blur,diffusion,0.1,O150 -> O300,ssim_attack,300,0.750822375714779,0.731857199370861,-0.018965176343917846,-0.021466341689229014,-0.016647265983124576,True,10000,42
3k_gaussian_blur,diffusion,0.1,O150 -> O300,psnr_final,300,26.841521027882894,25.27432148615519,-1.5671995417277018,-1.7362730189959208,-1.4060301191012066,True,10000,42
3k_gaussian_blur,diffusion,0.1,O150 -> O300,ssim_final,300,0.7697805560628573,0.7501850392421087,-0.019595516820748646,-0.021984357900917528,-0.017302110160390537,True,10000,42
3k_gaussian_blur,diffusion,0.3,Random -> O150,ber,300,0.13955555555555554,0.16455555555555557,0.025,0.01766666666666665,0.03255555555555553,True,10000,42
3k_gaussian_blur,diffusion,0.3,Random -> O150,psnr_attack,300,25.615559231440226,33.83011819203695,8.21455896059672,7.9554870993296305,8.47242543554306,True,10000,42
3k_gaussian_blur,diffusion,0.3,Random -> O150,ssim_attack,300,0.7870048042138418,0.9054457614819209,0.11844095726807913,0.11189391640325387,0.12522080921630063,True,10000,42
3k_gaussian_blur,diffusion,0.3,Random -> O150,psnr_final,300,25.07407430966695,31.917560799916586,6.843486490249634,6.6152231742540994,7.066566219250361,True,10000,42
3k_gaussian_blur,diffusion,0.3,Random -> O150,ssim_final,300,0.7626674130558968,0.9079258642594019,0.1452584512035052,0.13866267812500396,0.15194331857313711,True,10000,42
3k_gaussian_blur,diffusion,0.3,Random -> O300,ber,300,0.13955555555555554,0.16455555555555557,0.025,0.01777777777777776,0.032333333333333325,True,10000,42
3k_gaussian_blur,diffusion,0.3,Random -> O300,psnr_attack,300,25.615559231440226,32.628962224324546,7.013402992884318,6.775209754784902,7.245616609652837,True,10000,42
3k_gaussian_blur,diffusion,0.3,Random -> O300,ssim_attack,300,0.7870048042138418,0.8969013180335362,0.10989651381969452,0.10310498911142349,0.11698646604021391,True,10000,42
3k_gaussian_blur,diffusion,0.3,Random -> O300,psnr_final,300,25.07407430966695,31.080291341145834,6.006217031478882,5.7979486695925395,6.2057921872138975,True,10000,42
