model,attack,removal_ratio,actual_removal_ratio,PSNR_final,SSIM_final,PSNR_attack,SSIM_attack,BER,num_images
Haar Wavelet,diffusion,0.9,0.8998551432291667,14.941687720616658,0.39221092864871027,14.980303611755371,0.37477838128805163,0.2375555555555557,300
Haar Wavelet,mean,0.1,0.09978108723958333,23.279553203582765,0.8303114370505015,24.551082979838053,0.9111321258544922,0.06855555555555556,300
Haar Wavelet,mean,0.2,0.1997991943359375,20.821824963887533,0.7597803090016048,21.472035894393922,0.8287538655598958,0.0738888888888889,300
Haar Wavelet,mean,0.30000000000000004,0.2998077392578125,19.20239130973816,0.6920505787928899,19.599986534118653,0.7479636208216349,0.08244444444444453,300
Haar Wavelet,mean,0.4,0.39980712890625,17.98844567298889,0.6266919693350792,18.254622135162354,0.6705992140372594,0.08977777777777786,300
Haar Wavelet,mean,0.5,0.4997955322265625,16.99168870608012,0.5629059346516927,17.164466117223103,0.595504813392957,0.10800000000000014,300
Haar Wavelet,mean,0.6,0.5997798665364583,16.148872137069702,0.5074605526526769,16.276056791941325,0.5276276120543479,0.13088888888888897,300
Haar Wavelet,mean,0.7000000000000001,0.6998195393880209,15.445311307907104,0.4515091233452161,15.532872428894043,0.45922019352515536,0.15988888888888902,300
Haar Wavelet,mean,0.8,0.7998024495442708,14.699701658884685,0.39893812596797945,14.759507878621418,0.3938372021913528,0.20188888888888887,300
Haar Wavelet,mean,0.9,0.8998551432291667,14.076356250445048,0.3496127501875162,14.115084733963013,0.3285373084495465,0.2841111111111108,300
Haar Wavelet,navier,0.1,0.09978108723958333,25.776959451039634,0.8578117217620214,28.35206916809082,0.9407590049505233,0.06966666666666668,300
Haar Wavelet,navier,0.2,0.1997991943359375,23.435300722122193,0.8073571983973186,24.69293845494588,0.879299863576889,0.07355555555555557,300
Haar Wavelet,navier,0.30000000000000004,0.2998077392578125,22.036373558044435,0.7585206435124079,22.727074893315635,0.8185509864489238,0.07822222222222225,300
Haar Wavelet,navier,0.4,0.39980712890625,20.569163239796957,0.7050282019376755,20.966413046518962,0.7534448917706807,0.08700000000000012,300
Haar Wavelet,navier,0.5,0.4997955322265625,19.507590300242107,0.649141431649526,19.74479601542155,0.6870313622554143,0.09988888888888907,300
Haar Wavelet,navier,0.6,0.5997798665364583,18.262522598902386,0.5908033428589503,18.38694980621338,0.6169682567318281,0.11977777777777802,300
Haar Wavelet,navier,0.7000000000000001,0.6998195393880209,17.089959758122763,0.5292484366893768,17.14263395309448,0.5433262843887011,0.14200000000000002,300
Haar Wavelet,navier,0.8,0.7998024495442708,15.937702633539836,0.46329590092102685,15.951162633895875,0.46542005956172944,0.18211111111111125,300
Haar Wavelet,navier,0.9,0.8998551432291667,14.863377122879028,0.3964763100941976,14.859282452265422,0.38369207466642063,0.2428888888888889,300
Haar Wavelet,shiftmap,0.1,0.09978108723958333,24.21019592920939,0.8373575003941854,25.995848108927408,0.920417512456576,0.06744444444444445,300
Haar Wavelet,shiftmap,0.2,0.1997991943359375,21.28334257443746,0.7651235220829645,22.059065319697062,0.8386355821291606,0.06766666666666668,300
Haar Wavelet,shiftmap,0.30000000000000004,0.2998077392578125,19.119554608662924,0.688450887799263,19.497557341257732,0.7513634177049001,0.06944444444444445,300
Haar Wavelet,shiftmap,0.4,0.39980712890625,17.416515849431356,0.6106698517004648,17.620428717931112,0.6638944282134374,0.07055555555555564,300
Haar Wavelet,shiftmap,0.5,0.4997955322265625,15.969607016245524,0.5261850087841352,16.080565627415975,0.5706051789720853,0.07544444444444445,300
Haar Wavelet,shiftmap,0.6,0.5997798665364583,14.627563962936401,0.4425662808616956,14.703113231658936,0.4780481001734734,0.07988888888888897,300
Haar Wavelet,shiftmap,0.7000000000000001,0.6998195393880209,13.668440108299256,0.3570898347099622,13.709955682754517,0.3837148890892665,0.08844444444444458,300
Haar Wavelet,shiftmap,0.8,0.7998024495442708,12.44005909760793,0.2503398666282495,12.46506131807963,0.2691808993120988,0.10533333333333349,300
Haar Wavelet,shiftmap,0.9,0.8998551432291667,10.570147533416748,0.11220889817923307,10.583969152768454,0.12210047980149587,0.19977777777777794,300
Haar Wavelet,telea,0.1,0.09978108723958333,25.851051642100018,0.8584844728310903,28.44802760442098,0.941182581782341,0.06833333333333334,300
Haar Wavelet,telea,0.2,0.1997991943359375,23.537779261271158,0.8089865718285243,24.80405924161275,0.8804236900806427,0.0726666666666667,300
Haar Wavelet,telea,0.30000000000000004,0.2998077392578125,22.138118171691893,0.7610854041576386,22.83273180325826,0.8203288261095683,0.07722222222222228,300
Haar Wavelet,telea,0.4,0.39980712890625,20.688241386413573,0.708029446999232,21.08236485481262,0.7554290390014649,0.0827777777777779,300
Haar Wavelet,telea,0.5,0.4997955322265625,19.590000874201458,0.6526297988494237,19.816867427825926,0.6892334524790446,0.09788888888888907,300
Haar Wavelet,telea,0.6,0.5997798665364583,18.319766476949056,0.594219780266285,18.43402454058329,0.6188418379426003,0.11566666666666686,300
Haar Wavelet,telea,0.7000000000000001,0.6998195393880209,17.127486324310304,0.5326360376675924,17.16758454958598,0.5449140525857608,0.14022222222222233,300
Haar Wavelet,telea,0.8,0.7998024495442708,15.889474770228068,0.4660449074208736,15.89084275563558,0.4663469377160072,0.17866666666666675,300
Haar Wavelet,telea,0.9,0.8998551432291667,14.840496940612793,0.4015252266824245,14.82584851582845,0.38667020147045456,0.23822222222222228,300
